Cohort,Domain,Measure,Time point
ALSPAC,Language,MacArthur,3-4
ALSPAC,Language,MacArthur,6-7
ELFE,Language,MacArthur,1-2
ELFE,Language,MacArthur,2-3
ALSPAC,Language,Non-word,5-6
ALSPAC,Language,Non-word,8-9
RAINE,Language,Peabody,5-6
RAINE,Language,Peabody,9-10
ALSPAC,Language,Reynell,1-2
ALSPAC,Language,Reynell,2-3
ALSPAC,Language,Reynell,5-6
INMA,Language,SVF,7-8
INMA,Language,SVF,8-9
RAINE,Language,Woodside,0-1
RAINE,Language,Woodside,1-2
MoBa,Executive function,Ages & stages questionnaire,0-1
MoBa,Executive function,Ages & stages questionnaire,1-2
MoBa,Executive function,Ages & stages questionnaire,3-4
MoBa,Executive function,Ages & stages questionnaire,5-6
RAINE,Executive function,Ages & stages questionnaire,0-1
RAINE,Executive function,Ages & stages questionnaire,1-2
RAINE,Executive function,Ages & stages questionnaire,3-4
EDEN,Executive function,Ages & stages questionnaire,3-4
EDEN,Executive function,Ages & stages questionnaire,4-5
INMA,Executive function,ANT,7-8
INMA,Executive function,ANT,9-10
INMA,Executive function,ANT,10-12
ALSPAC,Executive function,TEACH,8-9
ALSPAC,Executive function,TEACH,10-12
INMA,Executive function,TRAIL,7-8
INMA,Executive function,TRAIL,9-10
INMA,Executive function,TRAIL,10-12
ALSPAC,Memory,DST,4-5
ALSPAC,Memory,DST,5-6
ALSPAC,Memory,Non-word,5-6
ALSPAC,Memory,Non-word,8-9
INMA,Memory,Working memory test,7-8
INMA,Memory,Working memory test,9-12
INMA,Memory,Working memory test,10-12
ALSPAC,Respiratory,FEV-1,8-9
ALSPAC,Respiratory,FEV-1,14-16
GEN-R,Respiratory,FEV-1,9-10
GEN-R,Respiratory,FEV-1,12-14
RHEA,Respiratory,FEV-1,4-5
RHEA,Respiratory,FEV-1,6-7
RAINE,Respiratory,FEV-1,5-6
RAINE,Respiratory,FEV-1,8-9
RAINE,Respiratory,FEV-1,12-14
RAINE,Respiratory,FEV-1,20-25
INMA,Respiratory,FEV-1,4-5
INMA,Respiratory,FEV-1,7-8
INMA,Respiratory,FEV-1,10-12
INMA,Respiratory,FEV-1,14-16
ALSPAC,Blood pressure,Peripheral,3-4
ALSPAC,Blood pressure,Peripheral,4-5
ALSPAC,Blood pressure,Peripheral,5-6
ALSPAC,Blood pressure,Peripheral,7-8
ALSPAC,Blood pressure,Peripheral,10-12
ALSPAC,Blood pressure,Peripheral,12-14
ALSPAC,Blood pressure,Peripheral,14-16
ALSPAC,Blood pressure,Peripheral,16-18
ALSPAC,Blood pressure,Peripheral,25-30
BiB,Blood pressure,Peripheral,4-5
BiB,Blood pressure,Peripheral,6-7
EDEN,Blood pressure,Peripheral,3-4
EDEN,Blood pressure,Peripheral,5-6
SWS,Blood pressure,Peripheral,3-4
SWS,Blood pressure,Peripheral,8-9
RHEA,Blood pressure,Peripheral,4-5
RHEA,Blood pressure,Peripheral,6-7
GECKO,Blood pressure,Peripheral,2-3
GECKO,Blood pressure,Peripheral,5-6
GECKO,Blood pressure,Peripheral,10-12
CHOP,Blood pressure,Peripheral,3-4
CHOP,Blood pressure,Peripheral,4-5
CHOP,Blood pressure,Peripheral,5-6
CHOP,Blood pressure,Peripheral,6-7
CHOP,Blood pressure,Peripheral,7-8
CHOP,Blood pressure,Peripheral,8-9
CHOP,Blood pressure,Peripheral,10-12
INMA,Blood pressure,Peripheral,4-5
INMA,Blood pressure,Peripheral,7-8
INMA,Blood pressure,Peripheral,9-10
ALSPAC,Height,,
BiB,Height,,
CHOP,Height,,
DNBC,Height,,
EDEN,Height,,
ELFE,Height,,
GECKO,Height,,
GEN-R,Height,,
